condition,symptoms
Non-alcoholic fatty liver disease (NAFLD),"a dull or aching pain in the top right of the tummy (over the lower right side of the ribs), extreme tiredness, unexplained weight loss, weakness"
Norovirus (vomiting bug),"feeling sick, being sick (vomiting), diarrhoea"
Osteoarthritis,"swelling, tenderness, grating or crackling sound when moving the affected joints"
Osteomyelitis,"swelling of the affected area, a feeling of warmth on the affected area, redness of the skin in the affected area, which may be harder to see on black or brown skin, a limp (more common in children), a high temperature"
Osteophyte (bone spur),"pins and needles, numbness or weakness in the arms and legs, lumps on joints like the fingers, big toe, heel and ankle"
Ovarian cyst,"pelvic pain – this can range from a dull, heavy sensation to a sudden, severe and sharp pain, pain during sex, difficulty emptying your bowels, a frequent need to urinate, heavy periods, irregular periods or lighter periods than normal, bloating and a swollen tummy, feeling very full after only eating a little, difficulty getting pregnant – although fertility is usually unaffected by ovarian cysts"
Paget's disease of bone,"bone or joint pain, skin feeling warm over the affected bone, changes in bone shape, a shooting pain that travels along or across the body, numbness and tingling (peripheral neuropathy), or balance problems"
Panic disorder,"a racing heartbeat, feeling faint, sweating, nausea, chest pain, shortness of breath, trembling, hot flushes, chills, shaky limbs, a choking sensation, dizziness, numbness or pins and needles, dry mouth, a feeling of dread or a fear of dying, a churning stomach, a tingling in your fingers, feeling like you're not connected to your body"
Paralysis,"you cannot move some or all of your face or body, your face or body is weak or floppy, your face or body is numb, painful or tingles all the time, your face or body is stiff with muscle spasms and twitches"
Parkinson's disease,"involuntary shaking of particular parts of the body (tremor), slow movement, stiff and inflexible muscles"
Patau's syndrome,"cleft lip and palate, an abnormally small eye or eyes (microphthalmia), absence of 1 or both eyes (anophthalmia)"
Pelvic inflammatory disease,"pain around the pelvis or lower tummy, discomfort or pain during sex that's felt deep inside the pelvis, pain when peeing, bleeding between periods and after sex, heavy periods, painful periods, unusual vaginal discharge, especially if it's yellow, green or smelly"
Pelvic organ prolapse,"a feeling of heaviness around your lower tummy and genitals, a dragging discomfort inside your vagina, feeling like there's something coming down into your vagina – it may feel like sitting on a small ball, feeling or seeing a bulge or lump in or coming out of your vagina, discomfort or numbness during sex, problems peeing – such as feeling like your bladder is not emptying fully, needing to go to the toilet more often, or leaking a small amount of pee when you cough, sneeze or exercise (stress incontinence)"
Pelvic pain,"a sharp, stabbing or burning pain that happens suddenly, a pain that comes on slowly but does not go away, a dull or heavy ache, or feeling of pressure, a twisted or knotted feeling, a cramping or throbbing pain, which may come and go, pain only when you’re doing something, like exercising, having sex, or peeing"
Peripheral arterial disease (PAD),"hair loss on your legs and feet, numbness or weakness in the legs, brittle, slow-growing toenails, ulcers (open sores) on your feet and legs, which do not heal, changing skin colour on your legs, such as turning paler than usual or blue – this may be harder to see on brown and black skin, shiny skin, in men, erectile dysfunction, the muscles in your legs shrinking (wasting)"
Peripheral neuropathy,"numbness and tingling in the feet or hands, burning, stabbing or shooting pain in affected areas, loss of balance and co-ordination, muscle weakness, especially in the feet"
Phaeochromocytoma,"headaches, heavy sweating, heart palpitations, high blood pressure, a pale face, feeling or being sick, feeling anxious or panicky, shakiness (tremor)"
Phenylketonuria,"behavioural difficulties such as frequent temper tantrums and episodes of self-harm, fairer skin, hair and eyes than siblings who do not have the condition (phenylalanine is involved in the body's production of melanin, the pigment responsible for skin and hair colour), eczema, repeatably being sick, jerking movements in arms and legs, tremors, epilepsy, musty smell to the breath, skin and urine"
PMS (premenstrual syndrome),"mood swings, feeling depressed or irritable, feeling upset, anxious or emotional, tiredness or trouble sleeping, bloating or cramping, breast tenderness, headaches, spotty skin, greasy hair, changes in appetite or food cravings"
Pneumonia,"a cough – you may cough up yellow or green mucus (phlegm), shortness of breath, a high temperature, chest pain, an aching body, feeling very tired, loss of appetite, making wheezing noises when you breathe – babies may also make grunting noises, feeling confused – this is common in older people"
Polio,"a high temperature, extreme tiredness (fatigue), headaches, being sick (vomiting), a stiff neck, muscle pain"
Polycystic ovary syndrome,"irregular periods or no periods at all, difficulty getting pregnant as a result of irregular ovulation or no ovulation, excessive hair growth (hirsutism) – usually on the face, chest, back or buttocks, weight gain, thinning hair and hair loss from the head, oily skin or acne"
Polyhydramnios (too much amniotic fluid),"indigestion and heartburn, constipation, breathlessness, swollen feet and legs, urinary tract infections (UTIs)"
Polymorphic light eruption,"you may get crops of 2mm to 5mm raised, pink or red spots, but redness may be harder to see on brown and black skin, some people get blisters that turn into larger, dry patches – it looks a bit like eczema, less commonly, the patches look like a target or ""bulls-eye"" (it looks a bit like erythema multiforme)"
Polymyalgia rheumatica,"extreme tiredness, loss of appetite, weight loss, depression"
Post-herpetic neuralgia,"feel intensely itchy, be more sensitive to pain than usual, feel painful as a result of something that would not normally hurt, such as a light touch or cool breeze"
Post-polio syndrome,"persistent fatigue (extreme tiredness), muscle weakness, shrinking muscles, muscle and joint pain, sleep apnoea"
Postpartum psychosis,"hallucinations – hearing, seeing, smelling or feeling things that are not there, delusions – suspicions, fears, thoughts or beliefs that are unlikely to be true, mania – feeling very ""high"" or overactive, for example, talking and thinking too much or too quickly, restlessness or losing normal inhibitions, a low mood – showing signs of depression, being withdrawn or tearful, lacking energy, having a loss of appetite, anxiety, agitation or trouble sleeping, sometimes a mixture of both a manic mood and a low mood - or rapidly changing moods, feeling very confused"
Prader-Willi syndrome,"an excessive appetite and overeating, which can easily lead to dangerous weight gain, restricted growth (children are much shorter than average), floppiness caused by weak muscles (hypotonia), learning difficulties, lack of sexual development, behavioural challenges, such as emotional outbursts and physical aggression"
Pre-eclampsia,"severe headache, vision problems, such as blurring or flashing, pain just below the ribs, vomiting, sudden swelling of the face, hands or feet"
Primary biliary cholangitis (primary biliary cirrhosis),"bone and joint aches, fatigue (extreme tiredness), itchy skin, dry eyes and mouth, pain or discomfort in the upper right side of their tummy"
Prostate cancer,"an increased need to pee, straining while you pee, a feeling that your bladder has not fully emptied"
Psychotic depression,"fatigue (exhaustion), disturbed sleep, changes in appetite, feeling worthless and guilty, being unable to concentrate or being indecisive, thoughts of death or suicide"
Pulmonary hypertension,"shortness of breath, tiredness, feeling faint or dizzy, chest pain (angina), a racing heartbeat (palpitations), swelling (oedema) in the legs, ankles, feet or tummy (abdomen)"
Q fever,"a high temperature, aching muscles, tiredness, feeling sick, a sore throat, swollen glands"
Rabies,"numbness or tingling where you were bitten or scratched, seeing things that are not there (hallucinations), feeling very anxious or energetic, difficulty swallowing or breathing, being unable to move (paralysis)"
Reactive arthritis,"sore, stiff and swollen joints, skin around painful joints might feel hot and look red (but redness can be harder to see on black and brown skin), feeling very tired"
Respiratory syncytial virus (RSV),"a runny or blocked nose, a cough, sneezing, tiredness, a high temperature – signs include your back or chest feeling hotter than usual, sweatiness and shivering (chills)"
Rheumatic fever,"a high temperature, redness, pain and swelling of your joints (arthritis), usually ankles, knees, wrists or elbows, pain in your chest, breathlessness and a fast heart rate, jerky, uncontrollable movements in your hands, feet and face, tiny bumps under your skin, pale-red patches on your arms and tummy (abdomen)"
Sarcoidosis,"tender and swollen glands in the face, neck, armpits or groin, tiredness and a general feeling of being unwell, painful joints, red or sore eyes, an abnormal heart rhythm (arrhythmia), a blocked or stuffy nose, pain in the bones, kidney stones, headache"
Scoliosis,"a visibly curved spine, leaning to 1 side, uneven shoulders, 1 shoulder or hip sticking out, the ribs sticking out on 1 side, clothes not fitting well"
Scurvy,"feeling very tired and weak all the time, feeling irritable and sad all the time, joint, muscle or leg pain, swollen, bleeding gums (sometimes teeth can fall out), developing red or blue spots on the skin, usually on the legs and feet, although this may be less noticeable on brown or black skin, skin that bruises easily"
Sickle cell disease,"painful episodes called sickle cell crises, which can be very severe and last for days or weeks, an increased risk of serious infections, anaemia (where red blood cells cannot carry enough oxygen around the body), which can cause tiredness and shortness of breath"
Sjögren's syndrome,"dry eyes, a dry mouth, aching muscles and joints, extreme tiredness"
Social anxiety (social phobia),"worry about everyday activities, such as meeting strangers, starting conversations, speaking on the phone, working or shopping, avoid or worry a lot about social activities, such as group conversations, eating with company and parties, always worry about doing something you think is embarrassing, such as blushing, sweating or appearing incompetent, find it difficult to do things when others are watching – you may feel like you're being watched and judged all the time, fear being criticised, avoid eye contact or have low self-esteem, often have symptoms like feeling sick, sweating, trembling or a pounding heartbeat (palpitations), have panic attacks, where you have an overwhelming sense of fear and anxiety, usually only for a few minutes"
Spina bifida,"weakness or total paralysis of the legs, bowel incontinence and urinary incontinence, loss of skin sensation in the legs and around the bottom – the child is unable to feel hot or cold, which can lead to accidental injury"
Spinal muscular atrophy (SMA),"muscle weakness – such as floppy or weak arms and legs, movement problems – such as difficulty sitting up, crawling or walking, problems with breathing or swallowing, twitching or shaking muscles (tremors), bone and joint problems – such as an unusually curved spine (scoliosis)"
Stevens-Johnson syndrome,"on your lips and in your mouth and throat – this can make swallowing painful, in the tube that carries pee out of your body – this can cause pain when peeing, on your eyes – this can cause eye pain, pain when looking at bright lights and problems with your sight"
Strep A,"flu-like symptoms, such as a high temperature, swollen glands or an aching body, sore throat (strep throat or tonsillitis), a rash that feels rough, like sandpaper (scarlet fever), scabs and sores (impetigo), pain and swelling (cellulitis), severe muscle aches, nausea and vomiting"
Supraventricular tachycardia (SVT),"usually lasts for a few minutes, but can sometimes last for several hours, can happen several times a day or once a year – it varies, can be triggered by caffeine, alcohol or drugs – but often there's no obvious trigger, can happen at any age, but often starts for the first time in children and young adults – many people have their first symptoms between 25 and 40 years old"
Tay-Sachs disease,"being overly startled by noises and movement, being very slow to reach milestones like learning to crawl, and losing skills they have already learnt, floppiness and weakness, which keeps getting worse until they're unable to move (paralysis), difficulty swallowing, loss of vision or hearing, muscle stiffness, seizures (fits)"
Tendonitis,"pain in a tendon that gets worse when you move, difficulty moving the joint, feeling a grating or crackling sensation when you move the tendon, swelling, sometimes with heat or redness"
Tetanus,"a stiff jaw (lockjaw), which can make opening your mouth difficult, painful muscle spasms, often in your back, tummy, arms, legs, hands and feet, difficulty breathing, swallowing problems, a high temperature, sweating, a fast heartbeat, fits (seizures)"
Thalassaemia,"anaemia – severe tiredness, weakness, shortness of breath, pounding, fluttering or irregular heartbeats (palpitations) and pale skin caused by the lack of haemoglobin, too much iron in the body – this is caused by the regular blood transfusions used to treat anaemia and can cause problems with the heart, liver and hormone levels if untreated"
Thrombophilia,"throbbing pain and swelling in your legs and arms (deep vein thrombosis), sudden breathing difficulties, chest pain and coughing up blood (pulmonary embolism)"
Transient ischaemic attack (TIA),"Face – the face may have dropped on 1 side, the person may not be able to smile, or their mouth or eye may have dropped., Arms – the person may not be able to lift both arms and keep them raised because of weakness or numbness in 1 arm., Speech – their speech may be slurred or garbled, or the person may not be able to talk at all, despite appearing to be awake; they may also have problems understanding what you're saying to them., Time – it's time to call 999 immediately if you see any of these signs or symptoms."
Tick-borne encephalitis (TBE),"a high temperature, tiredness, headache, aches and pains, feeling sick"
Tourette's syndrome,"blinking, eye rolling, grimacing, shoulder shrugging, jerking of the head or limbs, jumping, twirling, touching objects and other people"
Toxocariasis,"a high temperature, coughing or wheezing, stomach ache, an itchy rash, eye pain or redness, changes to your sight, such as seeing small dots or lines (floaters) or flashes of light, loss of vision (usually in 1 eye)"
Trichomoniasis,"abnormal vaginal discharge that may be thick, thin or frothy and yellow-green in colour, producing more discharge than normal, which may also have an unpleasant fishy smell, soreness, swelling and itching around the vagina – sometimes the inner thighs also become itchy, pain or discomfort when passing urine or having sex"
Trichotillomania (hair pulling disorder),"eyebrows, eyelashes, genital area, beard or moustache"
Trimethylaminuria ('fish odour syndrome'),"breath, sweat, pee, vaginal fluids"
Typhoid fever,"a persistent high temperature that gradually increases each day, headache, general aches and pains, extreme tiredness (fatigue), cough, constipation"
Typhus,"a high temperature, headache, a rash, which may be harder to see on black or brown skin, feeling sick or being sick, feeling generally unwell"
Ulcerative colitis,"recurring diarrhoea, which may contain blood, mucus or pus, tummy pain, needing to poo frequently"
Vaginal dryness,"feel sore or itchy in and around your vagina, feel pain or discomfort during sex, need to pee more often than usual, keep getting urinary tract infections (UTIs)"
Vitiligo,"mouth and eyes, fingers and wrists, armpits, groin, genitals, inside your mouth"
Vulval cancer,"a persistent itch in the vulva, pain, soreness or tenderness in the vulva, raised and thickened patches of skin that can be red, white or dark, a lump or wart-like growth on the vulva, bleeding from the vulva or blood-stained vaginal discharge between periods, an open sore in the vulva, a burning pain when peeing, a mole on the vulva that changes shape or colour"
Wolff-Parkinson-White syndrome,"a pounding or fluttering heartbeat (heart palpitations), feeling lightheaded or dizzy, shortness of breath, chest pain, passing out (fainting)"
Yellow fever,"high temperature, headache, feeling or being sick, aches and pains, loss of appetite, feeling generally unwell"
Zika virus,"a high temperature, a headache, sore, red eyes, swollen joints and joint and muscle pain, a rash and itching all over the body"
